Temperature,Humidity,Recommended_Crop
27,71,Rice
26,74,Rice
24,58,Barley
19,45,Chickpea
27,64,Groundnut
29,59,Groundnut
27,79,Sugarcane
33,84,Sunflower
26,54,Mustard
33,74,Sugarcane
31,68,Rice
23,47,Chickpea
32,78,Sunflower
24,52,Cotton
22,52,Cotton
20,53,Wheat
26,59,Cotton
28,50,Cotton
27,71,Rice
24,52,Wheat
31,75,Rice
25,58,Mustard
32,80,Sunflower
32,75,Sunflower
26,55,Cotton
31,71,Rice
24,52,Cotton
22,47,Chickpea
26,59,Cotton
33,84,Sunflower
22,53,Cotton
28,72,Sugarcane
29,77,Sugarcane
24,49,Mustard
27,70,Maize
19,50,Chickpea
18,50,Chickpea
30,66,Maize
31,73,Rice
24,58,Groundnut
24,61,Barley
33,75,Sunflower
28,52,Cotton
27,73,Sugarcane
34,75,Sugarcane
31,84,Sunflower
30,74,Sugarcane
29,60,Maize
30,69,Maize
21,50,Mustard
28,78,Sugarcane
23,52,Cotton
32,65,Rice
26,63,Maize
22,58,Wheat
20,48,Chickpea
23,63,Barley
30,71,Rice
19,46,Chickpea
26,72,Rice
25,51,Wheat
25,58,Barley
30,65,Maize
32,75,Sunflower
26,61,Barley
26,66,Rice
25,55,Groundnut
26,63,Maize
23,56,Cotton
23,45,Chickpea
32,82,Sunflower
27,59,Barley
23,52,Cotton
23,64,Barley
32,82,Sunflower
18,51,Chickpea
30,58,Groundnut
27,59,Groundnut
24,49,Chickpea
25,59,Barley
27,55,Cotton
26,54,Mustard
34,75,Sunflower
23,55,Groundnut
24,58,Mustard
27,64,Groundnut
18,53,Chickpea
28,84,Sunflower
24,52,Wheat
24,51,Wheat
24,51,Cotton
30,74,Rice
20,48,Chickpea
30,81,Sunflower
28,58,Groundnut
26,58,Cotton
27,54,Cotton
20,45,Chickpea
20,50,Chickpea
29,70,Maize
